Accuracy,Components,Function
0.6048132012199319,5,ADCC
0.4991530855619193,5,ADNP
0.571323110314198,5,CD107a
0.5887187630652193,5,IFNγ
0.6067617577293362,5,MIP1β
0.5597448747127852,5,ADCD
0.600700605478171,5,ADCC
0.5009989354627002,5,ADNP
0.5598414861444402,5,CD107a
0.5713955693310246,5,IFNγ
0.6223515813362857,5,MIP1β
0.548071797824466,5,ADCD
0.5939740220050732,5,ADCC
0.4908808375747926,5,ADNP
0.5639813983189993,5,CD107a
0.5855845611287586,5,IFNγ
0.6207152140943292,5,MIP1β
0.6236672068197519,6,ADCD
0.6096579348983197,6,ADCC
0.4968043471617787,6,ADNP
0.5454022869146585,6,CD107a
0.5901924103971691,6,IFNγ
0.6360620423737237,6,MIP1β
0.6107422434972252,6,ADCD
0.5932679965479288,6,ADCC
0.48499357116556263,6,ADNP
0.5617966311954949,6,CD107a
0.5718359443937469,6,IFNγ
0.6327677377015306,6,MIP1β
0.6208296057850848,6,ADCD
0.60614259435806,6,ADCC
0.4950539033106814,6,ADNP
0.5583491576796361,6,CD107a
0.5868710482524327,6,IFNγ
0.62749959304884,6,MIP1β
0.6258680859041007,6,ADCD
0.6086146390275115,6,ADCC
0.49858129717156635,6,ADNP
0.5639250907074032,6,CD107a
0.5894048896257759,6,IFNγ
0.6412607632406622,6,MIP1β
0.6191832333106734,6,ADCD
0.6018955508457272,6,ADCC
0.5001244593481671,6,ADNP
0.5628384968844821,6,CD107a
0.5851667959256772,6,IFNγ
0.6270854296093509,6,MIP1β
0.6064035404711955,6,ADCD
0.5951574231757424,6,ADCC
0.5061172878375094,6,ADNP
0.5538184549030062,6,CD107a
0.5834187643069451,6,IFNγ
0.6390596340861443,6,MIP1β
0.620557668524525,6,ADCD
0.6091204763982407,6,ADCC
0.495354443626461,6,ADNP
0.571964831265304,6,CD107a
0.5832762397958133,6,IFNγ
0.6282844028877401,6,MIP1β
0.6200747543545004,6,ADCD
0.5927989743660773,6,ADCC
0.49349619594719185,6,ADNP
0.5616612416987561,6,CD107a
0.5847890113558997,6,IFNγ
0.6389801023186945,6,MIP1β
0.6253551970031389,6,ADCD
0.5965386490010431,6,ADCC
0.48948495084065896,6,ADNP
0.545640053978433,6,CD107a
