Class,Accuracy,Components
Viremic/Non-Viremic,0.7679558011049724,8
Four-Class,0.569060773480663,8
Controller/Progressor,0.6795580110497238,9
Viremic/Non-Viremic,0.7403314917127072,9
Four-Class,0.5082872928176796,9
Controller/Progressor,0.7071823204419889,9
Viremic/Non-Viremic,0.7182320441988951,9
Four-Class,0.5138121546961326,9
Controller/Progressor,0.712707182320442,9
Viremic/Non-Viremic,0.7458563535911602,9
Four-Class,0.5248618784530387,9
Controller/Progressor,0.712707182320442,9
Viremic/Non-Viremic,0.7182320441988951,9
Four-Class,0.5193370165745856,9
Controller/Progressor,0.7016574585635359,9
Viremic/Non-Viremic,0.7237569060773481,9
Four-Class,0.5193370165745856,9
Controller/Progressor,0.712707182320442,9
Viremic/Non-Viremic,0.7348066298342542,9
Four-Class,0.5303867403314917,9
Controller/Progressor,0.7237569060773481,9
Viremic/Non-Viremic,0.7292817679558011,9
Four-Class,0.5193370165745856,9
Controller/Progressor,0.712707182320442,9
Viremic/Non-Viremic,0.7182320441988951,9
Four-Class,0.5248618784530387,9
Controller/Progressor,0.7071823204419889,9
Viremic/Non-Viremic,0.7182320441988951,9
Four-Class,0.5303867403314917,9
Controller/Progressor,0.7016574585635359,9
Viremic/Non-Viremic,0.7348066298342542,9
Four-Class,0.5303867403314917,9
Controller/Progressor,0.7016574585635359,10
Viremic/Non-Viremic,0.7348066298342542,10
Four-Class,0.5580110497237569,10
Controller/Progressor,0.7348066298342542,10
Viremic/Non-Viremic,0.7513812154696132,10
Four-Class,0.5414364640883977,10
Controller/Progressor,0.7237569060773481,10
Viremic/Non-Viremic,0.7458563535911602,10
Four-Class,0.5524861878453039,10
Controller/Progressor,0.712707182320442,10
Viremic/Non-Viremic,0.7569060773480663,10
Four-Class,0.5359116022099447,10
Controller/Progressor,0.7237569060773481,10
Viremic/Non-Viremic,0.7569060773480663,10
Four-Class,0.5414364640883977,10
Controller/Progressor,0.6961325966850829,10
Viremic/Non-Viremic,0.7513812154696132,10
Four-Class,0.5359116022099447,10
Controller/Progressor,0.7016574585635359,10
Viremic/Non-Viremic,0.7569060773480663,10
Four-Class,0.5248618784530387,10
Controller/Progressor,0.7348066298342542,10
Viremic/Non-Viremic,0.7458563535911602,10
Four-Class,0.5359116022099447,10
Controller/Progressor,0.712707182320442,10
Viremic/Non-Viremic,0.7569060773480663,10
Four-Class,0.5303867403314917,10
Controller/Progressor,0.7016574585635359,10
Viremic/Non-Viremic,0.7569060773480663,10
Four-Class,0.5414364640883977,10
Controller/Progressor,0.7016574585635359,11
Viremic/Non-Viremic,0.7513812154696132,11
Four-Class,0.5248618784530387,11
Controller/Progressor,0.7071823204419889,11
Viremic/Non-Viremic,0.7513812154696132,11
Four-Class,0.5193370165745856,11
Controller/Progressor,0.7403314917127072,11
Viremic/Non-Viremic,0.7569060773480663,11
Four-Class,0.5524861878453039,11
Controller/Progressor,0.6850828729281768,11
Viremic/Non-Viremic,0.7679558011049724,11
Four-Class,0.5414364640883977,11
Controller/Progressor,0.7071823204419889,11
Viremic/Non-Viremic,0.7679558011049724,11
Four-Class,0.5303867403314917,11
Controller/Progressor,0.712707182320442,11
Viremic/Non-Viremic,0.7403314917127072,11
Four-Class,0.5524861878453039,11
Controller/Progressor,0.6906077348066298,11
Viremic/Non-Viremic,0.7624309392265194,11
Four-Class,0.5138121546961326,11
Controller/Progressor,0.7016574585635359,11
Viremic/Non-Viremic,0.7569060773480663,11
Four-Class,0.5359116022099447,11
Controller/Progressor,0.712707182320442,11
Viremic/Non-Viremic,0.7569060773480663,11
Four-Class,0.5248618784530387,11
Controller/Progressor,0.7071823204419889,11
Viremic/Non-Viremic,0.7569060773480663,11
Four-Class,0.5524861878453039,11
Controller/Progressor,0.712707182320442,12
Viremic/Non-Viremic,0.7458563535911602,12
Four-Class,0.4972375690607735,12
Controller/Progressor,0.7348066298342542,12
Viremic/Non-Viremic,0.7734806629834254,12
Four-Class,0.5303867403314917,12
Controller/Progressor,0.7071823204419889,12
Viremic/Non-Viremic,0.7624309392265194,12
Four-Class,0.5193370165745856,12
Controller/Progressor,0.7182320441988951,12
Viremic/Non-Viremic,0.7458563535911602,12
Four-Class,0.5359116022099447,12
Controller/Progressor,0.7182320441988951,12
Viremic/Non-Viremic,0.7679558011049724,12
Four-Class,0.5193370165745856,12
Controller/Progressor,0.6961325966850829,12
Viremic/Non-Viremic,0.7624309392265194,12
Four-Class,0.5580110497237569,12
Controller/Progressor,0.7348066298342542,12
Viremic/Non-Viremic,0.7624309392265194,12
Four-Class,0.5027624309392266,12
Controller/Progressor,0.7182320441988951,12
Viremic/Non-Viremic,0.7679558011049724,12
Four-Class,0.5469613259668509,12
Controller/Progressor,0.7182320441988951,12
Viremic/Non-Viremic,0.7624309392265194,12
Four-Class,0.5524861878453039,12
Controller/Progressor,0.7403314917127072,12
Viremic/Non-Viremic,0.7624309392265194,12
Four-Class,0.5580110497237569,12
Controller/Progressor,0.7679558011049724,13
Viremic/Non-Viremic,0.7845303867403315,13
Four-Class,0.5580110497237569,13
Controller/Progressor,0.7569060773480663,13
Viremic/Non-Viremic,0.7790055248618785,13
Four-Class,0.5469613259668509,13
Controller/Progressor,0.7458563535911602,13
Viremic/Non-Viremic,0.7900552486187845,13
Four-Class,0.574585635359116,13
Controller/Progressor,0.7624309392265194,13
Viremic/Non-Viremic,0.7900552486187845,13
Four-Class,0.5469613259668509,13
Controller/Progressor,0.7679558011049724,13
Viremic/Non-Viremic,0.7624309392265194,13
Four-Class,0.585635359116022,13
Controller/Progressor,0.7679558011049724,13
Viremic/Non-Viremic,0.7790055248618785,13
Four-Class,0.569060773480663,13
Controller/Progressor,0.7679558011049724,13
Viremic/Non-Viremic,0.7790055248618785,13
Four-Class,0.5469613259668509,13
Controller/Progressor,0.7569060773480663,13
Viremic/Non-Viremic,0.7790055248618785,13
Four-Class,0.5359116022099447,13
Controller/Progressor,0.7513812154696132,13
Viremic/Non-Viremic,0.7790055248618785,13
Four-Class,0.5469613259668509,13
Controller/Progressor,0.7624309392265194,13
Viremic/Non-Viremic,0.7624309392265194,13
Four-Class,0.5414364640883977,13
Controller/Progressor,0.712707182320442,14
Viremic/Non-Viremic,0.7624309392265194,14
Four-Class,0.5359116022099447,14
Controller/Progressor,0.7292817679558011,14
Viremic/Non-Viremic,0.7292817679558011,14
Four-Class,0.49171270718232046,14
Controller/Progressor,0.7237569060773481,14
Viremic/Non-Viremic,0.7348066298342542,14
Four-Class,0.5027624309392266,14
Controller/Progressor,0.7071823204419889,14
Viremic/Non-Viremic,0.7403314917127072,14
Four-Class,0.5303867403314917,14
Controller/Progressor,0.6961325966850829,14
Viremic/Non-Viremic,0.7237569060773481,14
Four-Class,0.5303867403314917,14
Controller/Progressor,0.7237569060773481,14
Viremic/Non-Viremic,0.7569060773480663,14
Four-Class,0.46408839779005523,14
Controller/Progressor,0.7292817679558011,14
Viremic/Non-Viremic,0.7292817679558011,14
Four-Class,0.5303867403314917,14
Controller/Progressor,0.7071823204419889,14
Viremic/Non-Viremic,0.7292817679558011,14
Four-Class,0.5303867403314917,14
Controller/Progressor,0.7182320441988951,14
Viremic/Non-Viremic,0.7624309392265194,14
Four-Class,0.5248618784530387,14
Controller/Progressor,0.7237569060773481,14
Viremic/Non-Viremic,0.7513812154696132,14
Four-Class,0.5359116022099447,14
